PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n,UserType_n
0,1430000,1300000,1700000,34.0,5,0,11,0,5,0
0,1180000,1160000,1160000,40.0,5,0,9,0,5,0
0,2451400,2500000,2400000,0.0,50,1,1,0,5,0
0,3825000,3900000,3850000,44.0,6,0,11,0,1,0
0,4017000,3000000,4000000,31.0,14,0,12,0,5,0
0,1490000,1500000,1600000,30.0,6,1,3,0,5,1
0,1750000,1800000,1800000,30.0,5,1,4,0,5,1
0,1799000,1600000,1680000,11049.0,4,0,12,2,5,0
0,3597000,3700000,3650000,28.0,5,0,13,0,5,1
0,4077000,3500000,4100000,36.0,3,0,11,0,0,0
0,1050000,1140000,1130000,35.0,5,0,18,2,5,1
0,3400000,3500000,3700000,35.0,2,0,3,0,5,1
0,1180000,1200000,1150000,1077.0,2,1,11,2,5,0
0,1900000,2000000,1950000,30.0,5,0,12,0,5,1
0,10550000,11200000,10600000,55.0,12,1,2,0,5,1
0,1000000,1200000,1000000,34.0,2,1,7,0,5,0
0,1000000,1100000,1050000,30.0,5,1,6,0,5,0
0,2300000,2300000,2320000,39.3,4,0,6,0,5,0
0,2000000,2100000,2300000,23.0,5,1,5,0,5,1
0,1400000,1500000,1580000,0.0,0,0,7,2,5,1
0,1950000,2000000,1690000,30.0,6,1,5,0,5,0
0,1830000,1920000,1790000,30.0,5,1,6,0,5,0
0,1980000,2000000,2030000,100.0,5,0,7,0,5,0
0,4710000,5000000,4900000,36.0,6,0,13,2,5,0
0,1520000,1900000,1860000,31.0,2,1,5,0,5,1
0,2535000,3000000,2800000,20.0,5,0,13,0,5,0
0,3390000,4000000,3500000,36.0,10,1,2,0,5,0
0,4110000,5000000,4500000,45.0,12,0,13,0,0,0
0,1000000,2000000,1000000,29.0,5,1,5,0,5,0
0,2000000,2000000,2000000,30.0,5,1,5,0,5,0
0,6868500,7000000,10000000,49.0,11,1,2,0,5,1
1,2000000,1500000,3000000,200.0,2,1,1,2,5,1
1,3000000,4000000,5000000,300.0,2,0,17,0,5,1
1,4000000,4000000,4000000,202.05,2,0,3,0,6,0
1,1000000,1000000,1000000,60.2,2,1,1,0,0,0
1,2000000,2400000,2100000,200.0,2,1,1,0,5,1
1,7000000,6000000,6000000,150.0,2,0,11,0,1,0
1,830000,900000,850000,835.0,0,0,70,3,1,0
1,6000000,5500000,5000000,983.0,2,0,10,2,5,0
1,8000000,8000000,8000000,500.0,2,0,18,0,1,0
1,200000,200000,200000,20.0,2,0,2,2,1,0
1,1000000,2000000,1000000,400.0,2,0,14,3,5,0
1,2470000,2500000,2300000,257.0,1,1,1,0,5,0
1,2235000,3000000,2500000,920.0,2,0,18,0,5,1
1,2300000,2100000,2200000,120.0,0,1,0,0,5,0
1,1815000,1500000,2000000,1262.0,1,0,43,0,5,0
1,9210000,10000000,10000000,317.0,1,0,12,0,5,0
1,2000000,2000000,2000000,35.0,1,1,1,0,2,0
1,34000000,34500000,34700000,105.0,1,1,1,2,5,1
1,5500000,2508000,4000000,100.0,2,1,2,0,5,0
1,2000000,2500000,2500000,2500.0,2,1,2,2,5,1
1,2000000,3000000,2000000,100.0,1,0,4,0,5,0
1,7500000,8000000,7000000,1145.0,2,0,11,0,5,0
1,2085000,3000000,2400000,856.0,2,0,16,0,5,1
1,24000000,24000000,24000000,74.8,3,0,3,0,0,0
1,6000000,7000000,6000000,150.0,2,0,9,0,5,0
1,3900000,4000000,3500000,196.0,2,0,10,2,1,0
1,5000000,4000000,4000000,300.0,1,0,29,0,1,0
1,6705000,7000000,6500000,920.0,2,0,11,0,5,0
1,3885000,4000000,4500000,1040.0,1,0,11,2,3,0
1,2650000,3000000,2700000,328.0,1,1,9,0,5,0
1,2000000,2000000,2000000,200.0,1,0,17,0,5,0
1,1439000,1300000,1400000,1200.0,3,1,2,0,5,0
1,2300000,2250000,2400000,150.0,1,0,6,0,5,1
1,2000000,2000000,3000000,200.0,1,0,27,0,1,1
1,3897000,4000000,3500000,952.0,1,0,11,0,5,0
1,2000000,3000000,2000000,100.0,2,0,6,0,3,1
1,4000000,5000000,4000000,100.0,2,0,12,0,5,0
1,1000000,1500000,1300000,80.0,1,1,3,0,4,1
1,2000000,3000000,4000000,129.0,1,0,11,1,0,1
1,2000000,3000000,2000000,200.0,1,0,34,0,5,0
1,2000000,2000000,2000000,100.0,1,0,5,0,5,0
1,4000000,5000000,4000000,113.0,2,0,4,0,5,0
1,4290000,5000000,4500000,64.0,1,0,10,0,5,0
1,2000000,2400000,2300000,51.0,1,0,4,0,6,1
1,100000,106859,123846,5.0,2,0,8,3,0,0
1,4500000,4300000,4400000,400.0,1,0,2,3,5,0
1,500000,400000,300000,50.0,50,1,3,2,5,0
1,4000000,5000000,4500000,100.0,2,0,15,0,5,1
1,4500000,2000000,3100000,100.0,2,0,14,3,5,0
2,4900000,5000000,5200000,162.0,3,0,22,0,5,1
2,4605000,4500000,4000000,230.0,3,0,13,0,5,0
2,4000000,4100000,4300000,240.0,4,1,13,0,0,1
2,4935000,5000000,4500000,350.0,3,1,5,2,5,0
2,3897000,4000000,3500000,200.0,2,0,12,0,5,0
2,5175000,5000000,5500000,300.0,3,0,10,2,3,1
2,4000000,3000000,3500000,132.0,3,1,7,2,5,1
2,8000000,7000000,8000000,450.0,4,1,6,0,1,0
2,2000000,1500000,2000000,80.0,2,1,5,0,0,0
2,3850000,4000000,3500000,360.0,3,0,13,0,1,0
2,9597000,8000000,10000000,350.0,4,0,9,0,1,0
2,2000000,1900000,2400000,76.8,4,0,13,0,0,1
2,2000000,2100000,2300000,240.0,2,1,7,0,5,1
2,1925000,1800000,1900000,155.0,2,0,4,0,3,0
2,2000000,3000000,2000000,96.0,2,0,8,0,5,0
2,3000000,4000000,3000000,240.0,2,1,5,2,5,0
2,2730000,3000000,2500000,100.0,2,0,10,0,5,0
2,6000000,6120000,6200000,390.0,3,0,7,2,5,1
2,6900000,7000000,7000000,56.0,3,0,16,0,5,1
2,4500000,4000000,4300000,100.0,3,0,12,0,1,0
2,6075000,5500000,6500000,370.0,3,0,12,0,1,1
2,3000000,2000000,3000000,120.0,3,1,10,3,3,0
2,3000000,3200000,2800000,120.0,3,0,21,2,5,0
2,1000000,1200000,1500000,240.0,2,0,15,3,5,1
2,2000000,1000000,2000000,135.0,2,0,6,0,5,0
2,4617000,4500000,4000000,200.0,2,0,11,0,5,0
2,8325000,7000000,7500000,300.0,4,0,12,0,5,0
2,1794000,1700000,1800000,856.0,1,0,10,2,1,0
2,5280000,5500000,4500000,310.0,3,0,12,0,5,0
2,5000000,4000000,4000000,50.0,2,0,13,2,1,0
