PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n
0,1430000,1300000,1700000,34.0,5,1,11,0,3
0,1180000,116000,11160000,40.0,5,1,9,0,3
0,2451400,2500000,2400000,0.0,50,2,1,0,3
0,3825000,3900000,3850000,44.0,6,1,11,0,1
0,4017000,3000000,4000000,31.0,14,1,12,0,3
0,1490000,1500000,1600000,30.0,6,2,3,0,3
0,1750000,1800000,1800000,30.0,5,2,4,0,3
0,1799000,1600000,1680000,11049.0,4,1,12,1,3
0,3597000,3700000,3650000,28.0,5,1,13,0,3
0,4077000,3500000,4100000,36.0,3,1,11,0,0
0,1050000,1140000,1130000,35.0,5,1,18,1,3
0,3400000,3500000,3700000,35.0,2,1,3,0,3
0,118000,120000,115000,1077.0,2,2,11,1,3
0,10550000,11200000,10600000,55.0,12,2,2,0,3
0,1000000,1200000,1000000,34.0,2,2,7,0,3
0,1000000,1100000,1050000,30.0,5,2,6,0,3
0,2300000,2300000,2320000,39.3,6,1,6,0,3
0,2000000,21000000,2300000,23.0,5,2,5,0,3
0,1950000,2000000,1690000,30.0,6,2,5,0,3
0,1830000,1920000,1790000,30.0,5,2,6,0,3
0,1980000,2000000,2030000,100.0,5,1,7,0,3
0,4710000,5000000,4900000,36.0,6,1,13,1,3
0,1520000,1900000,1860000,31.0,2,2,5,0,3
0,2535000,3000000,2800000,20.0,5,1,13,0,3
0,3390000,4000000,3500000,36.0,10,2,2,0,3
0,4110000,5000000,4500000,45.0,12,1,13,0,0
0,1000000,2000000,1000000,29.0,5,2,5,0,3
0,2000000,2000000,2000000,30.0,5,2,5,0,3
0,6868500,7000000,10000000,49.0,11,2,2,0,3
1,2000000,1500000,3000000,200.0,2,2,1,1,3
1,3000000,4000000,5000000,300.0,2,1,17,0,3
1,4190000,5000000,4500000,284.0,2,2,15,0,2
1,4000000,4000000,4000000,202.05,2,1,3,0,3
1,4000000,3500000,4000000,140.0,2,1,10,0,2
1,2890000,2900000,2890000,600.0,1,1,4,0,3
1,3850000,4000000,3500000,100.0,2,2,3,0,0
1,1000000,1000000,1000000,60.2,2,2,1,0,0
1,1800000,2000000,2500000,220.0,2,1,12,0,2
1,5000000,5100000,5100000,224.0,1,1,11,1,0
1,2290000,2300000,2500000,105.0,2,2,4,0,2
1,7500000,6000000,8000000,118.0,2,2,9,0,2
1,5830000,5831000,5830000,58.0,1,1,4,0,3
1,2000000,2400000,2100000,200.0,2,2,1,0,3
1,12800000,12900000,12900000,104.0,2,2,2,0,3
1,3850000,4200000,4000000,224.0,2,1,15,0,2
1,2650000,3000000,2500000,130.0,1,1,11,0,0
1,7000000,6000000,6000000,150.0,2,1,11,0,1
1,7500000,7500000,7500000,66.9,2,1,3,0,3
1,6790000,7000000,6500000,245.0,2,1,8,0,2
1,3380000,3500000,3500000,184.0,2,2,2,1,0
1,83000,90000,85000,835.0,0,1,70,2,1
1,6000000,5500000,5000000,983.0,2,1,10,1,3
1,10000000,8000000,9500000,344.0,2,2,13,2,1
1,450000,200000,500000,100.0,1,1,65,0,2
1,8000000,8000000,8000000,500.0,2,1,18,0,1
1,6790000,5000000,6520000,250.0,1,2,5,0,2
1,200000,200000,200000,20.0,2,1,2,1,1
1,1000000,1000000,1000000,30.0,1,2,2,0,2
1,6790000,7000000,7500000,330.0,2,1,35,0,2
1,7900000,8000000,8500000,320.0,2,1,20,0,0
1,6980000,6800000,6990000,305.0,1,2,1,0,3
1,1000000,2000000,1000000,400.0,2,1,14,2,3
1,2470000,2500000,2300000,257.0,1,2,1,0,3
1,8000000,9000000,8000000,400.0,1,1,7,1,2
1,2950000,3010000,3000000,216.0,1,1,3,0,2
1,1700000,2000000,1500000,208.0,1,1,34,0,2
1,2235000,3000000,2500000,920.0,2,1,18,0,3
1,2000000,1500000,2000000,1152.0,2,1,19,0,2
1,1600000,3000000,2000000,98.0,2,0,16,0,2
1,2490000,3000000,3500000,150.0,1,1,13,0,2
1,9200000,9200000,9900000,103.0,2,1,7,0,3
1,11500000,15000000,10000000,240.0,2,2,4,0,2
1,10800000,12000000,10000000,400.0,2,2,5,0,2
1,28000000,28010000,28015000,48156.0,2,1,14,0,0
1,1390000,1500000,2000000,240.0,1,1,17,0,2
1,2300000,2100000,2200000,120.0,0,2,0,0,3
1,1815000,1500000,2000000,1262.0,1,1,43,0,3
1,3290000,3290000,3340000,80.0,3,2,1,0,0
1,3500000,4000000,3000000,170.0,2,1,23,0,2
1,1200000,2000000,1500000,150.0,1,1,26,2,2
1,9210000,10000000,10000000,317.0,1,1,12,0,3
1,2290000,2500000,2000000,280.0,2,1,11,0,2
1,2000000,2000000,2000000,35.0,1,2,1,0,1
1,2700000,2000000,2500000,150.0,1,1,18,1,2
1,10000000,12000000,15000000,309.0,2,1,19,0,2
1,34000000,34500000,34700000,105.0,1,2,1,1,3
1,5500000,2508000,4000000,100.0,2,2,2,0,3
1,2300000,2360000,2350000,420.0,2,1,8,0,0
1,2500000,2600000,2603000,140.0,2,1,12,0,1
1,2200000,2000000,2500000,248.0,1,1,10,0,2
1,2000000,2500000,2500000,50.0,2,2,2,1,3
1,5500000,5620000,5630000,248.0,2,1,6,0,0
1,2350000,2350000,2400000,124.0,1,1,13,0,0
1,2000000,3000000,2000000,100.0,1,1,4,0,3
1,300000,310000,310000,840.0,2,2,1,0,1
1,32000000,40000000,30000000,375.0,2,1,8,0,2
1,7500000,8000000,7000000,1145.0,2,1,11,0,3
1,4290000,5000000,4000000,246.0,2,2,5,0,0
1,3500000,4000000,4500000,150.0,1,1,18,0,2
1,2085000,3000000,2400000,856.0,2,1,16,0,3
1,6000000,6500000,5500000,200.0,1,1,16,0,2
1,24000000,24000000,24000000,74.8,3,1,3,0,0
1,6000000,7000000,6000000,150.0,2,1,9,0,3
1,5190000,5000000,5100000,50.0,2,1,12,0,2
1,1950000,1980000,1950000,69.2,2,1,14,0,0
1,3000000,2500000,3500000,145.0,2,1,19,0,2
1,2690000,2720000,2730000,544.0,1,2,3,0,1
1,5000000,4000000,4000000,300.0,1,1,29,0,1
1,2900000,3000000,2500000,59.0,1,1,20,0,2
1,6705000,7000000,6500000,920.0,2,1,11,0,3
1,3350000,3500000,3000000,240.0,2,1,29,0,2
1,3885000,4000000,4500000,1040.0,1,1,11,1,2
1,3900000,4000000,4500000,150.0,1,1,19,1,2
1,199000,2010000,2000000,100.0,0,2,1,0,3
1,4890000,5000000,5500000,70.0,1,1,18,0,2
1,7290000,0,0,408.0,1,1,35,1,2
1,2190000,2500000,2000000,91.0,2,2,6,0,2
1,6500000,7000000,6800000,300.0,2,1,12,0,0
1,1800000,2010000,2005000,108.0,2,1,13,0,0
1,2650000,3000000,2700000,328.0,1,2,9,0,3
1,3500000,3500000,3550000,80.0,3,1,4,0,0
1,2000000,2000000,2000000,200.0,1,1,17,0,3
1,2350000,2000000,1500000,150.0,1,1,17,2,2
1,4390000,1300000,1400000,1200.0,3,2,2,0,3
1,2300000,2250000,2400000,150.0,1,1,6,0,3
1,2000000,2000000,3000000,200.0,1,1,27,0,1
1,1700000,1800000,2000000,200.0,2,1,20,2,2
1,59000000,60000000,55000000,150.0,2,1,10,0,2
1,2800000,3000000,2500000,120.0,1,1,14,0,2
1,2100000,2140000,2140000,90.0,1,1,2,0,0
1,3897000,4000000,3500000,952.0,1,1,11,0,3
1,2300000,2400000,2400000,200.0,2,2,0,0,2
1,4000000,4500000,3500000,120.0,2,1,18,0,1
1,2500000,2000000,3000000,150.0,1,1,38,0,2
1,4200000,5000000,4500000,100.0,1,1,8,0,2
1,35900000,36000000,36000000,632.0,2,2,1,0,0
1,1950000,1950000,2000000,68.0,2,1,12,0,1
1,2000000,3000000,2000000,100.0,2,1,6,0,2
1,6500000,6500000,6500000,178.0,1,0,4,0,0
1,2650000,3000000,2500000,105.0,1,1,14,0,2
1,1650000,2000000,2500000,144.0,1,2,2,0,2
1,16500000,17000000,15000000,318.0,2,1,26,0,2
1,10600000,12000000,10000000,150.0,2,1,11,0,2
1,2500000,3000000,2800000,100.0,1,1,18,0,2
1,4000000,5000000,4000000,100.0,2,1,12,0,3
1,5390000,5500000,5000000,160.0,2,2,3,0,2
1,1790000,1800000,1800000,51.0,1,2,1,0,3
1,3800000,3790000,3800000,760.0,2,1,14,0,0
1,8900000,7000000,7500000,180.0,2,1,18,0,2
1,2500000,3000000,3000000,106.0,1,1,19,0,2
1,7500000,7520000,7500000,225.0,2,1,13,0,0
1,15500000,16000000,17000000,480.0,2,2,7,0,2
1,4200000,5000000,5500000,160.0,2,1,9,0,2
1,2000000,3000000,2000000,240.0,1,2,3,0,2
1,2150000,3000000,3500000,140.0,1,2,5,0,2
1,8900000,10000000,8000000,1908.0,2,1,38,2,2
1,12000000,12010000,12010000,704.0,2,1,12,0,0
1,1000000,1200000,1300000,88.0,2,2,2,0,2
1,1000000,1500000,1300000,80.0,1,2,3,0,2
1,7500000,8000000,8500000,183.0,2,1,19,0,2
1,17000000,17090000,17100000,692.0,1,1,12,0,0
1,6500000,6490000,6500000,464.0,2,1,4,0,3
1,4950000,5000000,5100000,224.0,2,1,15,0,2
1,2990000,3000000,3500000,144.0,2,1,11,0,2
1,2000000,3000000,2000000,200.0,1,1,34,0,3
1,1600000,2000000,2000000,75.0,1,1,20,0,2
1,5500000,5620000,5000000,135.0,2,1,13,0,2
1,5500000,5600000,5600000,170.0,1,2,2,0,0
1,2000000,2000000,2000000,100.0,1,1,5,0,3
1,9900000,10000000,11000000,240.0,2,1,20,0,2
1,2240000,2245000,2240000,120.0,2,2,1,0,0
1,2250000,2700000,2500000,140.0,1,2,5,0,2
1,4000000,5000000,4000000,113.0,2,1,4,0,3
