ColorType_n,CostestimateB,SellPrice,MarketPrice,RoadType_n,AsseStatus_n,UserType_n
1,8000000,7000000,7500000,0,4,0
4,3000000,3600000,3400000,2,4,0
5,8500000,8720000,8600000,0,4,0
6,43500000,45000000,46000000,5,4,0
2,25400000,26400000,26000000,0,4,0
1,8660000,8200000,8430000,5,4,0
9,600000,654000,630000,0,4,0
6,4500000,4300000,4500000,2,4,1
9,3500000,3700000,3900000,5,4,0
9,58600000,57000000,58500000,0,4,1
5,8000000,7500000,7000000,2,4,0
9,800000,790000,850000,2,4,0
6,10500000,10000000,10000000,5,3,0
7,19700000,18500000,19800000,5,4,1
5,1480000,1490000,1500000,0,4,1
4,25000000,21000000,20000000,5,4,0
4,40000000,38750000,39000000,2,4,0
6,250000,320000,280000,2,4,0
8,930000,1000000,900000,0,2,0
9,2160000,2100000,2100000,0,4,0
0,4500000,5000000,4430000,4,0,0
6,10000000,8160000,8500000,2,4,1
1,6000000,6270000,6500000,5,4,0
2,2000000,1800000,2500000,0,4,1
5,15000000,13475000,20000000,0,4,1
2,30000000,24900000,28000000,0,4,1
6,13000000,15000000,14000000,0,4,0
1,30000000,13730000,50000000,2,4,1
2,4000000,4400000,5000000,2,4,0
5,50000000,72000000,70000000,0,3,0
9,500000,700000,650000,0,4,0
6,20000000,15000000,15000000,2,4,0
2,11800000,12000000,12000000,0,4,0
5,4500000,4200000,4500000,2,3,0
2,600000000,690000000,610000000,0,4,0
2,30000000,31360000,31000000,0,4,0
6,24000000,22500000,20000000,0,3,0
2,9000000,10000000,8900000,0,4,0
5,95000000,95000000,95000000,2,1,0
9,500000,350000,400000,0,4,1
6,10200000,11000000,11100000,5,4,0
6,20000000,11972000,10000000,2,4,0
6,10000000,11850000,15000000,2,4,0
0,1400000,1200000,1200000,4,4,0
6,7690000,7699000,7699440,2,4,0
9,5000000,4200000,4000000,0,2,0
1,1500000,1150000,1000000,0,4,0
5,14000000,13000000,15000000,1,4,1
6,15000000,14204250,10000000,2,4,0
6,2000000,2200000,2100000,5,4,0
6,8500000,8400000,8000000,2,4,0
6,2000000,1700000,1500000,5,4,0
2,60350000,60310000,60360000,2,4,0
1,50000000,4500000,6000000,1,1,0
6,765000,750000,760000,2,4,0
6,8000000,7791000,7500000,2,4,0
6,5000000,4900000,5000000,3,4,0
6,7000000,6990000,8000000,5,4,0
9,4450000,4500000,4600000,5,4,0
5,5000000,3500000,4000000,0,4,1
1,50000000,4500000,6000000,1,1,0
4,41000000,41730000,42000000,0,4,0
9,25000000,21846000,20000000,2,4,0
9,45000000,45000000,45000000,2,2,0
1,190000000,110000000,100000000,2,4,0
6,4000000,3150000,3000000,5,4,0
10,48000000,50000000,49000000,2,1,0
5,80000000,82000000,82500000,2,4,0
3,8250000,8160000,8060000,0,4,0
9,2400000,2000000,1900000,5,4,0
2,8000000,7550000,7000000,0,4,1
6,3500000,3000000,3100000,2,4,0
3,9900000,10000000,10000000,0,1,0
10,30000000,20000000,20000000,1,4,0
5,12000000,11000000,13000000,0,4,1
2,120000000,122508000,150000000,2,4,1
10,5000000,4900000,4500000,2,4,0
7,4000000,3900000,3500000,0,2,0
6,130000000,127560000,125000000,0,4,0
2,4800000,5400000,5000000,2,2,0
9,35900000,35900000,35900000,0,4,0
5,130000000,122400000,140000000,2,4,1
9,4000000,4500000,3500000,5,4,0
5,5500000,5000000,5000000,0,4,0
5,79000000,81000000,80000000,0,4,0
6,57000000,56000000,56000000,5,3,0
9,2600000,2600000,2600000,0,4,0
6,1950000,1955000,1956000,5,4,0
9,492900000,490900000,493900000,2,2,0
9,3720000,3720000,3720000,0,4,0
6,10000000,8500000,8000000,5,4,0
5,50000000,80000000,85000000,2,4,1
7,1500000,1580000,1600000,2,4,0
4,28000000,30000000,29500000,5,4,0
4,16000000,16200000,15000000,0,4,0
